ID,Name
12.12.04,Habinsaran
12.12.05,PintuPohan Meranti
12.12.06,Borbor
12.12.07,Porsea
12.12.08,Ajibata
12.12.09,LumbanJulu
12.12.10,Uluan
12.12.19,Sigumpar
12.12.20,SiantarNarumonda
12.12.21,Nassau
12.12.22,Tampahan
12.12.23,BonatuaLunasi
12.12.24,Parmaksian
12.13.01,Panyabungan
12.13.02,PanyabunganUtara
12.13.03,PanyabunganTimur
12.13.04,PanyabunganSelatan
12.13.05,PanyabunganBarat
12.13.06,Siabu
12.13.07,BukitMalintang
12.13.08,Kotanopan
12.13.09,LembahSorik Marapi
12.13.10,Tambangan
12.13.11,UluPungkut
12.13.12,MuaraSipongi
12.13.13,BatangNatal
12.13.14,LinggaBayu
12.13.15,Batahan
12.13.16,Natal
12.13.17,MuaraBatang Gadis
12.13.18,RantoBaek
12.13.19,HutaBargot
12.13.20,PuncakSorik Marapi
12.13.21,Pakantan
12.13.22,Sinunukan
12.13.23,NagaJuang
12.14.01,Lolomatua
12.14.02,Gomo
12.14.03,Lahusa
12.14.04,Hibala
12.14.05,Pulau-PulauBatu
12.14.06,TelukDalam
12.14.07,Amandraya
12.14.08,Lolowau
12.14.09,Susua
12.14.10,Maniamolo
12.14.11,Hilimegai
12.14.12,Toma
12.14.13,Mazino
12.14.14,Umbunasi
12.14.15,Aramo
12.14.16,Pulau-PulauBatu Timur
12.14.17,Mazo
12.14.18,Fanayama
12.14.19,Ulunoyo
12.14.20,Huruna
12.14.21,Ogo\u
12.14.22,Onohazumba
12.14.23,Hilisalawagahe
12.14.24,Ulususua
12.14.25,Siduagori
12.14.26,Somambawa
12.14.27,Boronadu
12.14.28,Simuk
12.14.29,Pulau-PulauBatu Barat
12.14.30,Pulau-PulauBatu Utara
12.14.31,TanahMasa
12.14.32,LuahagundreManiamolo
12.14.33,Onolalu
12.14.34,UluIdanotae
12.14.35,Idanotae
12.15.01,SiteluTali Urang Jehe
12.15.02,Kerajaan
12.15.03,Salak
12.15.04,SiteluTali Urang Julu
12.15.05,PergettengGetteng Sengkut
12.15.06,Pagindar
12.15.07,Tinada
12.15.08,SiempatRube
12.16.01,Parlilitan
12.16.02,Pollung
12.16.03,Baktiraja
12.16.04,Paranginan
12.16.05,LintongNihuta
12.16.06,DolokSanggul
12.16.07,Sijamapolang
12.16.08,OnanGanjang
12.16.09,Pakkat
12.16.10,Tarabintang
12.17.01,Simanindo
12.17.02,OnanRunggu
12.17.03,Nainggolan
12.17.04,Palipi
12.17.05,Harian
12.17.06,SianjarMula Mula
12.17.07,RonggurNihuta
12.17.08,Pangururan
12.17.09,Sitio-tio
12.18.01,PantaiCermin
12.18.02,Perbaungan
12.18.03,TelukMengkudu
12.18.04,SeiRampah
12.18.05,TanjungBeringin
12.18.06,BandarKhalifah
12.18.07,DolokMerawan
12.18.08,Sipispis
12.18.09,DolokMasihul
12.18.10,Kotarih
12.18.11,Silinda
12.18.12,SerbaJadi
12.18.13,TebingTinggi
12.18.14,Pegajahan
12.18.15,SeiBamban
12.18.16,TebingSyahbandar
12.18.17,BintangBayu
12.19.01,MedangDeras
12.19.02,SeiSuka
12.19.03,AirPutih
12.19.04,LimaPuluh
12.19.05,Talawi
12.19.06,TanjungTiram
12.19.07,SeiBalai
12.19.08,LautTador
12.19.09,LimaPuluh Pesisir
12.19.10,DatukLima Puluh
12.19.11,DatukTanah Datar
12.19.12,NibungHangus
12.20.01,DolokSigompulon
12.20.02,Dolok
12.20.03,Halongonan
12.20.04,PadangBolak
12.20.05,PadangBolak Julu
12.20.06,Portibi
12.20.07,BatangOnang
12.20.08,Simangambat
12.20.09,HuluSihapas
12.20.10,PadangBolak Tenggara
12.20.11,HalongonanTimur
12.20.12,UjungBatu
12.21.01,Sosopan
12.21.02,BarumunTengah
12.21.03,Huristak
12.21.04,LubukBarumun
12.21.05,HutaRaja Tinggi
12.21.06,UluBarumun
12.21.07,Barumun
12.21.08,Sosa
12.21.09,BatangLubu Sutam
12.21.10,BarumunSelatan
12.21.11,AekNabara Barumun
12.21.12,SihapasBarumun
12.22.01,Kotapinang
12.22.02,KampungRakyat
12.22.03,Torgamba
12.22.04,SungaiKanan
12.22.05,Silangkitang
12.23.01,KualuhHulu
12.23.02,KualuhLeidong
12.23.03,KualuhHilir
12.23.04,AekKuo
12.23.05,Marbau
12.23.06,NaIX - X
12.23.07,AekNatas
12.23.08,KualuhSelatan
12.24.01,Lotu
12.24.02,Sawo
12.24.03,Tuhemberua
12.24.04,SitoluOri
12.24.05,NamohaluEsiwa
12.24.06,AlasaTalumuzoi
12.24.07,Alasa
12.24.08,TugalaOyo
12.24.09,Afulu
12.24.10,Lahewa
12.24.11,LahewaTimur
12.25.01,Lahomi
12.25.02,Sirombu
12.25.03,MandreheBarat
12.25.04,Morogo
12.25.05,Mandrehe
12.25.06,MandreheUtara
12.25.07,LolofituMoi
12.25.08,UluMorogo
12.71.01,MedanKota
12.71.02,MedanSunggal
12.71.03,MedanHelvetia
12.71.04,MedanDenai
12.71.05,MedanBarat
12.71.06,MedanDeli
12.71.07,MedanTuntungan
12.71.08,MedanBelawan
12.71.09,MedanAmplas
12.71.10,MedanArea
12.71.11,MedanJohor
12.71.12,MedanMarelan
12.71.13,MedanLabuhan
12.71.14,MedanTembung
